CID NO,NAME,DZONGKHAG,GEWOG,HOUSEHOLD ID,GENDER,FamilyID,FATHER CID NUMBER,MOTHER CID NUMBER,SPOUSE CID NUMBER
10903006812,Karma,Peas,Peas3,119540831,Female,18,10810001624,11009003625,
10202000464,Bishnu,Carrot,Carrot2,26855092,Male,33,10403005121,10304008452,
10305006622,Gyeltshen,Dumru,Dumru6,796233790,Male,40,10604004543,10604001419,10811001633
10908006299,Deki Lhaki,Peas,Peas8,295310485,Male,1,10202005772,10905009470,10301000861
10304007892,Deki,Dumru,Dumru5,239670711,Male,29,10708004064,10307004903,
10504005573,Dorji Choden Tenzin,Hoentshoe,Hoentshoe4,149827706,Male,20,10708000919,10302007075,
10805001294,Tshewang Tashi Lhaki,Pumpkin,Pumpkin5,686579303,Male,44,10503005614,10907008482,
10706007305,Sita,Mustard,Mustard6,790779946,Male,4,10306000500,10605009874,
20201007478,Pema Dorji,Carrot,Carrot1,110053353,Male,28,11007009202,10908009669,
10703009837,Tenzin,Mustard,Mustard3,957970516,Female,11,10501008882,10205006596,
10704007123,Choden,Mustard,Mustard4,585582861,Male,21,10601000056,10809000842,
10703000439,Tshewang Wangchuk Tshering,Mustard,Mustard3,93349856,Male,15,10205003811,10810009648,
10708004637,Kinley,Mustard,Mustard8,634036506,Male,16,10806008584,10304006284,
10505001052,Deki,Hoentshoe,Hoentshoe5,453035110,Male,25,10210007682,10402006461,
10806004873,Gyeltshen,Pumpkin,Pumpkin6,34126396,Male,48,11001006548,10703008209,
10708000258,Gyeltshen,Mustard,Mustard8,26855092,Female,33,11006006870,10706000744,
10603004934,Dorji Tashi,Ladyfinger,Ladyfinger3,31994523,Male,9,10205002332,10802004634,
10606005161,Gyeltshen,Ladyfinger,Ladyfinger6,100604502,Female,14,10502005724,11003003524,
10801008167,Ram Manoj Ramesh,Pumpkin,Pumpkin1,234760738,Male,47,10604002417,11004000269,
10305009033,Deki Sonam Kinley,Dumru,Dumru6,249817734,Male,19,10405006438,10103006035,
10501009590,Gyeltshen Tashi Tshewang,Hoentshoe,Hoentshoe1,796233790,Male,40,,,11003004135
10711008946,Lhaki,Mustard,Mustard11,542621108,Female,8,10810001612,10303001404,
10302005153,Choden,Dumru,Dumru3,149827706,Female,20,10205009608,10802004155,10405005422
10601000117,Tenzin,Ladyfinger,Ladyfinger1,646412689,Male,31,10602001104,10303005514,
10703008955,Amit Ramesh,Mustard,Mustard3,28492780,Male,2,10704009833,10502003288,
10904003644,Karma Tashi Deki,Peas,Peas4,262950628,Male,43,11004004605,10205003752,
10904004771,Lhaki Karma,Peas,Peas4,602632297,Male,49,10601008366,10202005050,
10811004961,Kinley Gyeltshen,Pumpkin,Pumpkin11,213500298,Male,13,10402000742,10101007406,
10907003201,Binita Sabita,Peas,Peas7,686579303,Female,44,10101003570,10203007873,
10801001108,Bishnu Binita,Pumpkin,Pumpkin1,726600539,Male,35,10801002153,10804009115,
10303007529,Dorji Tashi,Dumru,Dumru4,453035110,Female,25,10902009256,10802001376,
10906001213,Karma Sonam Tashi,Peas,Peas6,768820204,Male,39,11002006126,10601007030,
10210005401,Tshering Wangchuk Sonam,Carrot,Carrot5,697808098,Male,45,10802002711,10710001886,10708004414
10203006323,Pema Choden Tshering,Carrot,Carrot3,753041955,Male,10,10808007272,10906005631,
10602009070,Sonam,Ladyfinger,Ladyfinger2,542621108,Male,8,10606001715,10302004583,
10304004055,Kinley,Dumru,Dumru5,585126461,Male,37,10102009048,10807006708,
10712007501,Yonten Pema,Mustard,Mustard12,450455977,Male,38,10603002847,10804003858,
10908004465,Wangchuk Pema,Peas,Peas8,236696312,Female,30,10405006065,10401004945,10810003909
10104005488,Gyeltshen Deki Dorji,Banana,Banana4,482334538,Female,5,10809003006,10301002626,
11002007506,Tshewang Wangchuk,Potato,Potato2,726600539,Male,35,10908004918,10707000936,
10701007361,Tashi,Mustard,Mustard1,34126396,Female,48,10604003139,10704009083,
10804004345,Amit,Pumpkin,Pumpkin4,119540831,Male,18,10809002719,11007004890,
10808002880,Pema,Pumpkin,Pumpkin8,634036506,Male,16,,,10802001129
20201005413,Gyeltshen Yonten Lhaki,Carrot,Carrot1,634036506,Female,16,10806008584,10304006284,
10707000256,Tashi Pema,Mustard,Mustard7,632719211,Female,50,,,10801008408
10708003228,Tshering Wangchuk,Mustard,Mustard8,542621108,Female,8,10810001612,10303001404,
10304009774,Sunita Krishna Prakash,Dumru,Dumru5,298704996,Female,26,10803009787,10710001827,
10803003945,Dorji Yonten,Pumpkin,Pumpkin3,646412689,Male,31,10705008740,11005002830,
10605003050,Dorji Tshewang,Ladyfinger,Ladyfinger5,796233790,Male,40,11003004135,10501009590,
10802005126,Kinley Tenzin,Pumpkin,Pumpkin2,869119330,Male,46,11005005546,10908002768,
10101009385,Yonten Kinley,Banana,Banana1,933404114,Male,7,10907006018,10902002346,
10811005484,Wangchuk Kinley Pema,Pumpkin,Pumpkin11,298704996,Male,26,10305008189,10908007668,
10902005355,Tashi Wangchuk Tshewang,Peas,Peas2,869119330,Female,46,11005005546,10908002768,
11001000042,Sunita Sita Dipak,Potato,Potato1,110053353,Male,28,,,10902008282
10904000410,Komal,Peas,Peas4,239670711,Female,29,11006000672,10803003762,
10603009295,Dorji Sonam,Ladyfinger,Ladyfinger3,585582861,Female,21,,,11004005425
10604003700,Nirajan Prakash,Ladyfinger,Ladyfinger4,634036506,Male,16,,,10303008280
10205001936,Tshewang Choden,Carrot,Carrot4,453035110,Male,25,10707005658,10601004471,10502006026
10303004239,Gyeltshen Pema,Dumru,Dumru4,46654552,Female,2,11003007486,10602004334,10905005416
10203002752,Nirajan Sita,Carrot,Carrot3,6977991,Male,6,10706000356,10701002330,
10205002332,Deki Kinley,Carrot,Carrot4,31994523,Male,9,10307008423,11004003120,10802004634
10706006421,Wangchuk Tenzin Yonten,Mustard,Mustard6,814763202,Male,34,,,10904008214
10306007451,Komal,Dumru,Dumru7,865241839,Male,12,10702009106,10306004061,
10603001698,Komal,Ladyfinger,Ladyfinger3,298704996,Female,26,10803009787,10710001827,
10601002266,Wangchuk,Ladyfinger,Ladyfinger1,768820204,Female,39,10405009375,10703004890,
10704009383,Tshewang,Mustard,Mustard4,100604502,Male,14,10401004494,11003006229,
10502001545,Tashi Kinley Tshewang,Hoentshoe,Hoentshoe2,171432881,Female,23,10606003706,11004000916,
10802002646,Tshewang Tashi,Pumpkin,Pumpkin2,453035110,Male,25,10210007682,10402006461,
10804007702,Choden,Pumpkin,Pumpkin4,749621470,Male,32,,,10705008666
10907007172,Tshewang Karma,Peas,Peas7,234760738,Male,47,10504000972,10711006732,
10210001653,Karma,Carrot,Carrot5,585582861,Female,21,10603001684,10606005238,
10903002007,Manoj Ram,Peas,Peas3,957970516,Female,11,10707004272,10404002250,
11009001838,Choden Lhaki,Potato,Potato9,749621470,Male,32,,,10706004285
10104000996,Pema,Banana,Banana4,585582861,Female,21,11004005425,10603009295,
10401009032,Tenzin Tashi,Garlic,Garlic1,450455977,Male,38,,,11005000241
10604001684,Lhaki,Ladyfinger,Ladyfinger4,602632297,Female,49,10704005262,10406009696,
11002004369,Prakash,Potato,Potato2,814763202,Male,34,10904008013,10407004347,
10802002316,Deki Tenzin,Pumpkin,Pumpkin2,795285932,Female,22,10601007999,10603004708,
10802006095,Sonam Wangchuk,Pumpkin,Pumpkin2,453778756,Female,36,10804009200,10102005629,
10304003986,Tenzin Tshewang,Dumru,Dumru5,298704996,Male,26,10905006280,10402008674,
10403005731,Choden,Garlic,Garlic3,450455977,Male,38,11005000241,10401009032,
10806005236,Wangchuk Tshering,Pumpkin,Pumpkin6,634036506,Female,16,10505008285,10103005620,
10304002634,Yonten Sonam,Dumru,Dumru5,365341213,Male,3,11002007912,10402000417,
10304008381,Tashi Sonam Karma,Dumru,Dumru5,795285932,Male,22,11004002222,10402004922,11003003902
10712009173,Lhaki Dorji,Mustard,Mustard12,453778756,Female,36,,,10403001076
10703001996,Tshewang Yonten,Mustard,Mustard3,796233790,Male,40,11003004135,10501009590,
10904008502,Dorji Lhaki,Peas,Peas4,453778756,Male,36,10210005649,10104004478,
10202006590,Tshering Wangchuk,Carrot,Carrot2,726600539,Male,35,10502002001,20201002068,
10210006703,Tshewang Tashi Tshering,Carrot,Carrot5,249817734,Female,19,11003008564,10606001493,
11006008882,Karma Yonten Dorji,Potato,Potato6,249817734,Female,19,11003008564,10606001493,
